"nazwa"	"alg"
"kp"	"M' U L U' M U L' U'"
"fp"	"U' L' U' L' U L U L U L'"
"rp"	"D M' U L U' M U L' U'D'"
"gp"	"M2 U L U' M2 U L' U'"
"op"	"U2 M U' L U M' U' L' U'"
"hp"	"U' R E' R2 E R U"
"tp"	"D' M' U L U' M U L' U'D"
"jd"	"E L' U L E' L' U' L"
"zd"	"x' U M2 U' L2 U M2 U' rL"
"ed"	"l u' M u2 M u' l'"
"kd"	"M2 U' L U M U' L' U M"
"fd"	"y' L' U' M' U2 M U' L y"
"rd"	"x' U M2 U' L U M2 U' L' x"
"gd"	"M U' L U M2 U' L' U M"
"od"	"x U2 M' U L2 U' M U L2 U x'"
"hd"	"u' R' E R2 E' R u"
"td"	"x' R' U M' U2 M U R x"
"ej"	"U2 M2 U' L' U M2 U' L U'"
"kj"	"M' U L' U' M U L U'"
"fj"	"U' L U L U' L' U' L' U' L U2"
"rj"	"D M' U L' U' M U L U'D'"
"gj"	"M2 U L' U' M2 U L U'"
"oj"	"U2 M U' L' U M' U' L U'"
"hj"	"U' R' E R2 E' R U"
"tj"	"D' M' U L' U' M U L U'D"
"ez"	"u' U' M2 U R U' M2 U R' u"
"kz"	"x l' U' L U M U' L' U L x'"
"fz"	"y' U' M2 U R U' M2 U R' y"
"rz"	"y' U M' U' R U M U' R' y"
"gz"	"M U' L' U M2 U' L U M"
"oz"	"x U M' U M U M' U M x'"
"hz"	"y' U M2 U' R U M2 U' R' y"
"tz"	"l' U' R' U' R U R U R U' x'"
"fe"	"M' U2 M D M' U2 M D'"
"re"	"L F E' L2 E L2 F' L'"
"ge"	"u2 M' u2 M'"
"oe"	"x U' M U' M U2 M' U' M' U x'"
"he"	"R2 U R2 f2 R2 U R2 f2"
"te"	"R' F' E R2 E' R2 F R"
"fk"	"U L2 U' M' U L2 U' M"
"rk"	"x U' L' U M' U' L U M x'"
"gk"	"U' F' l' U M' U' R U r' l U"
"ok"	"U M' U' M U2 M U M' U'"
"hk"	"U' R2 U M' U' R2 U M"
"tk"	"x U R U' M' U R' U' M x'"
"gf"	"M2 U L2 U' M2 U L2 U'"
"of"	"U2 M U' L2 U M' U' L2 U'"
"hf"	"D' M D2 M' D'"
"tf"	"x E R U R' E' R U' R' x'"
"gr"	"x M2 U' L' U M2 U' L U x'"
"or"	"M D M' D M D M' D"
"hr"	"S' U' R2 U S U' R2 U"
"tr"	"M' D M' D2 M D M"
"hg"	"U' R2 U M2 U' R2 U M2"
"tg"	"r U R U' M2 U R' U' M'R'"
"ho"	"U' R2 U' M U R2 U' M' U2"
"to"	"D M D M' D M D M'"
